name;description;position;achievement;timecreated;timemodified
Willkommen!;Herzlich Willkommen! Bald fängt dein Studium an der WWU an & du möchtest dir jetzt schon mal einen ersten Überblick verschaffen? Dann klicke dich durch unsere Ersten Schritte & bereite dich so auf dein Studium vor.  Klicke "Weiter" um zum nächsten Schritt zu gelangen, "Zurück" um einen Schritt zurück zu gehen und siehe zu wie dein Fortschrittbalken sich langsam füllt!;1;0;1612623712;1612623712
Uni Wiki;Das Uni Wiki ist deine zentrale Anlaufstelle für alle wichtigen Information rund um das Studium und verlinkt die wichtigsten Inhalte. Wenn du deine Maus über eines der kleinen "i" bewegst, erscheint zudem eine kurzer Info-Text zu dem jeweiligen Inhalt. Probiere es gleich aus!;2;0;1612623712;1612623712
Plattformen & Social Media;Damit dir der Einstieg in die Studienwelt leichter fällt, kannst du dich jetzt schon mit den wichtigsten Plattformen vertraut machen: Unser Learnweb, das Self Service Center und dein E-Mail-Programm. Alle Links und Kurzbeschreibungen findest du unten in unserem Uni Wiki.;3;0;1612623712;1612623712
Deine ersten Wochen;Schaue dir die Website deiner Fachschaft an, damit du für deine Studienplanung schon einige Informationen zusammenstellen kannst. Weißt du schon, ob es für dich einen Vorkurs gibt? Den Link zu deiner Fachschaft kannst du dem Uni Wiki entnehmen.;4;0;1612623712;1612623712
O-Woche;Die O-Woche oder Orientierungswoche ist deine offizielle Einführung in das universitäre Leben. Neben der Vermittlung von Informationen soll es im Rahmen der O-Woche vor allem um das Kennenlernen deiner zukünftigen Kommilitoninnen und Kommilitonen gehen. Suche im Uni Wiki den Link zur Webseite der Fachschaft und schaue auf der Internetseite nach, wann die O-Woche in diesem Semester stattfindet.;5;0;1612623712;1612623712
Deine persönliche Erwartungen an das Studium;Jetzt wird´s oldschool! Nimm dir 5 Minuten Zeit, schnapp dir einen Stift und geh kurz in dich: Warum hast du dich für das Studium entschieden? Worauf freust du dich am meisten? Was sind deine Ziele für das erste Semester? Hast du spezielle Erwartungen? Diese Fragen werden dich bei deinem Studieneinstieg unterstützen und steigern deine Motivation.;6;0;1612623712;1612623712
Suche dir Inspiration!;Du wüsstest gerne, was dich erwartet? Wie deine Kommilitonen ihr Studium gestalten? Und dich interessieren Tipps und Tricks für die O-Woche? Dann schau dir unsere Erfahrungsberichte an.;7;0;1612623712;1612623712
Vorbereitungsphase abgeschlossen!;HURRA! Du hast dich erfolgreich auf dein Studium an der WWU vorbereitet & bist startklar für die O-Woche! Weiter so!;8;1;1612623712;1612623712
Dein Studienverlauf;Du möchtest wissen, welche Module du im kommenden Semester belegen kannst und was diese beinhalten? Suche im Uni Wiki den Link zu den Modulhandbüchern heraus und schaue nach welche Module zur Auswahl stehen. Tipp: Einen guten Überblick vermittelt dir der Studienverlaufsplan. Ideen, wie du diesen persönlich gestalten kannst, findest du in den Erfahrungsberichten.;9;0;1612623712;1612623712
Studium ist mehr als Studieren!;Du suchst nach dem perfekten Ausgleich für dein Studium? Du möchtest sportlich betätigen oder dich neben deinem Studium engagieren? Vielleicht sogar beides? Dann schaue dir jetzt das Angebot des Hochschulsports und der Hochschulinitiativen an. Die Links findest du in unserem Uni Wiki.;10;0;1612623712;1612623712
Orientierungsphase abgeschlossen!;YIPPIE! Du hast die O-Woche lebend überstanden! Viel Spaß bei deinem Studium! Good Luck!;11;1;1612623712;1612623712
Prüfungen;Auch Prüfungen müssen vorbereitet werden! Selbst die beste Vorbereitung hilft dir nicht, wenn die Anmeldungsfrist verpasst wurde. Schaue nach, wann und über welches Portal deine Anmeldung stattfindet.;12;0;1612623712;1612623712
Praxis & Auslandssemester;Bist du bereit dein neues Wissen in der Praxis anzuwenden? Hast du Lust für ein Semester eine neue Kultur zu entdecken? Informiere dich über die Möglichkeiten von Praktika, Jobs & Auslandssemestern. Hier kannst du sowohl in den Erfahrungsberichten von echten Erlebnissen lernen oder du schaust dir die passenden Links im Uni Wiki an.;13;0;1612623712;1612623712
Teile deine Erfahrungen mit uns!;Lass die letzten Wochen noch einmal auf dich wirken! Wie war dein Studienstart? Was hat dir gut gefallen? Wie sehen deine Pläne für die kommenden Semester aus? Teile deine Erfahrung gerne mit deinen Kommilitonen und schreibe deinen eigenen Erfahrungsbericht!;14;0;1612623712;1612623712
Erste Schritte abgeschlossen!;Herzlichen Glückwunsch! Du bist ein WWU Experte! Danke, dass du deine Erfahrungen mit uns teilst! :);15;1;1612623712;1612623712
